BillNumber,ChapterNumber,CrossfileBillNumber,SponsorPrimary,Sponsors,Synopsis,Title,Status,CommitteePrimaryOrigin,CommitteeSecondaryOrigin,CommitteePrimaryOpposite,CommitteeSecondaryOpposite,FirstReadingDateHouseOfOrigin,HearingDateTimePrimaryHouseOfOrigin,HearingDateTimeSecondaryHouseOfOrigin,ReportDateHouseOfOrigin,ReportActionHouseOfOrigin,SecondReadingDateHouseOfOrigin,SecondReadingActionHouseOfOrigin,ThirdReadingDateHouseOfOrigin,ThirdReadingActionHouseOfOrigin,FirstReadingDateOppositeHouse,HearingDateTimePrimaryOppositeHouse,HearingDateTimeSecondaryOppositeHouse,ReportDateOppositeHouse,ReportActionOppositeHouse,SecondReadingDateOppositeHouse,SecondReadingActionOppositeHouse,ThirdReadingDateOppositeHouse,ThirdReadingActionOppositeHouse,InteractionBetweenChambers,PassedByMGA,EmergencyBill,ConstitutionalAmendment,BroadSubjects,NarrowSubjects,BillType,BillVersion,Statutes,YearAndSession,StatusCurrentAsOf
HB0124,,,Delegate Vogel,[{'Name': 'Delegate Vogel'}],"Allowing, subject to certain limitations, a subtraction modification under the Maryland income tax for certain personal casualty losses of certain retirement assets from theft or a fraud scheme; and applying the Act to taxable years beginning after December 31, 2025.",Income Tax - Subtraction Modification - Losses From Theft or Fraud,In the House - Hearing 1/29 at 1:00 p.m.,Ways and Means,,,,2026-01-14,2026-01-29T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'q3', 'Name': 'Taxes - Income'}]","[{'Code': 'evidence', 'Name': 'Evidence'}, {'Code': 'exemptions', 'Name': 'Exemptions'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'fraud', 'Name': 'Fraud -see also- Forgery'}, {'Code': 'incomet', 'Name': 'Income Tax'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'personp', 'Name': 'Personal Property'}, {'Code': 'retirement', 'Name': 'Retirement -see also- Mandatory Retirement'}, {'Code': 'taxr', 'Name': 'Tax Returns'}, {'Code': 'theft', 'Name': 'Theft -see also- Burglary; Robbery; Shoplifting'}, {'Code': 'victims', 'Name': 'Victims -see also- Criminal Injuries Compensation'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0125,,,"Delegate Johnson, S.","[{'Name': 'Delegate Johnson, S.'}]","Requiring that a motor vehicle be at least 25 years old in order to be eligible for registration as a historic motor vehicle.
",Vehicle Laws – Historic Motor Vehicles – Minimum Age,In the House - Hearing 2/05 at 1:00 p.m.,Environment and Transportation,,,,2026-01-14,2026-02-05T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'r4', 'Name': 'Vehicle Laws - Licensing and Regulation'}]","[{'Code': 'age', 'Name': 'Age -see also- Age of Maj; Children; Elderly; Inf&Tod.; etc'}, {'Code': 'historm', 'Name': 'Historical Matters -see also- Archives; Monumts; Museum; etc'}, {'Code': 'motorv', 'Name': 'Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.'}, {'Code': 'motorvreg', 'Name': 'Motor Vehicle Registration'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0126,,SB0027,Delegate Pippy,[{'Name': 'Delegate Pippy'}],"Exempting a sale, rental, or transfer of a regulated firearm from the seven-day waiting period requirement if the purchaser, renter, or receiver of the firearm is a law enforcement officer, a retired law enforcement officer who retired in good standing, or an individual with a permit to wear, carry, or transport a handgun.",Regulated Firearms - Seven-Day Waiting Period - Exceptions,In the House - Hearing 2/04 at 1:00 p.m.,Judiciary,,,,2026-01-14,2026-02-04T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e4', 'Name': 'Public Safety'}]","[{'Code': 'applica', 'Name': 'Applicants and Applications'}, {'Code': 'guns', 'Name': 'Guns'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'licenses', 'Name': 'Licenses -see also- AB Lic; Certifications; DrLic; Permits'}, {'Code': 'permits', 'Name': 'Permits -see also- Building Permits'}, {'Code': 'retirement', 'Name': 'Retirement -see also- Mandatory Retirement'}, {'Code': 'time', 'Name': 'Time'}, {'Code': 'transfg', 'Name': 'Transfer of Goods -see also- Goods&Svc; Leas&Rnt; RetailSale'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0127,,SB0235,Delegate Metzgar,[{'Name': 'Delegate Metzgar'}],"Requiring the governing body of Baltimore County to grant, by law, a  property tax credit against the county property tax imposed on certain dwellings owned by public safety officers or Baltimore County public school employees under certain circumstances.",Baltimore County - Property Tax Credits - Public Safety Officers and Public School System Employees,In the House - Hearing 1/27 at 1:00 p.m.,Ways and Means,,,,2026-01-14,2026-01-27T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'q2', 'Name': 'Taxes - Property - Local'}]","[{'Code': 'applica', 'Name': 'Applicants and Applications'}, {'Code': 'baltimco', 'Name': 'Baltimore County'}, {'Code': 'correco', 'Name': 'Correctional Officers'}, {'Code': 'emergems', 'Name': 'Emergency Medical Services -see also- Ambul; RescSqd'}, {'Code': 'firep', 'Name': 'Fire Protection'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'localgm', 'Name': 'Local Government Mandates'}, {'Code': 'propert', 'Name': 'Property Tax'}, {'Code': 'publice', 'Name': 'Public Employees -see also- State Employees'}, {'Code': 'publics', 'Name': 'Public Schools -see also- Primary Schools; Secondary Sch'}, {'Code': 'residep', 'Name': 'Residential Property -see also- Apartments; Condominiums'}, {'Code': 'taxc', 'Name': 'Tax Credits'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0128,,,Delegate Vogel,[{'Name': 'Delegate Vogel'}],"Requiring a county board of education to allow, subject to certain requirements and policies, the use of therapy dogs in public schools in the county.",County Boards of Education - Therapy Dogs - Policy for Handling and Use in Schools,In the House - First Reading Ways and Means,Ways and Means,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'f1', 'Name': 'Primary and Secondary Education'}]","[{'Code': 'certification', 'Name': 'Certifications'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'dogs', 'Name': 'Dogs'}, {'Code': 'educatb', 'Name': 'Education, Boards of'}, {'Code': 'medicac', 'Name': 'Medical Conditions -see also- AIDS; COVID-19; rabies'}, {'Code': 'mentalbh', 'Name': 'Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'parentg', 'Name': 'Parents and Guardians'}, {'Code': 'publics', 'Name': 'Public Schools -see also- Primary Schools; Secondary Sch'}, {'Code': 'students', 'Name': 'Students'}, {'Code': 'teachers', 'Name': 'Teachers'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0129,,,"Delegate Morgan, M.","[{'Name': 'Delegate Morgan, M.'}, {'Name': 'Delegate Arikan'}, {'Name': 'Delegate Chisholm'}, {'Name': 'Delegate Fisher'}, {'Name': 'Delegate Grammer'}, {'Name': 'Delegate Nawrocki'}, {'Name': 'Delegate Szeliga'}]","Requiring a nonprofit entity that receives at least 50% of its funding each year from a grant from the State, a county, or a municipality, the State capital budget, or certain local impact grants to report certain information to the Comptroller; etc.",Public Funding - Nonprofit Entities - Reporting,In the House - First Reading Appropriations,Appropriations,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'b1', 'Name': 'Operating Budget'}, {'Code': 'b5', 'Name': 'Capital Budget'}]","[{'Code': 'capitab', 'Name': 'Capital Budgets'}, {'Code': 'comptroller', 'Name': 'Comptroller'}, {'Code': 'grants', 'Name': 'Grants'}, {'Code': 'nonproo', 'Name': 'Nonprofit Organizations'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'statea', 'Name': 'State Aid -see also- Public Benefits'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0130,,,Delegate Ruff,[{'Name': 'Delegate Ruff'}],"Prohibiting the intentional fraudulent sale, conveyance, or lease or attempted sale, conveyance, or lease of real property by a person who does not own the real property; prohibiting the acquisition, sale, or conveyance or the attempted acquisition, sale, or conveyance of real property by deception, intimidation, threat, or undue influence; establishing the Deed Fraud Prevention Grant Fund; and establishing the Task Force to Study Deed Fraud.","Criminal Law - Deed Fraud - Prohibition, Deed Fraud Prevention Grant Fund, and Task Force to Study Deed Fraud",In the House - Hearing 2/03 at 1:00 p.m.,Judiciary,,,,2026-01-14,2026-02-03T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e1', 'Name': 'Criminal Law - Substantive Crimes'}, {'Code': 'e4', 'Name': 'Public Safety'}]","[{'Code': 'adminioc', 'Name': 'Administrative Office of the Courts'}, {'Code': 'appropriation', 'Name': 'Appropriations'}, {'Code': 'commitco', 'Name': 'Committees and Commissions'}, {'Code': 'crimesp', 'Name': 'Crimes and Punishments -see also- Penalties and Sentnc; etc.'}, {'Code': 'deeds', 'Name': 'Deeds'}, {'Code': 'extortion', 'Name': 'Extortion'}, {'Code': 'fines', 'Name': 'Fines -see also- Penalties and Sentences'}, {'Code': 'forgery', 'Name': 'Forgery'}, {'Code': 'fraud', 'Name': 'Fraud -see also- Forgery'}, {'Code': 'grants', 'Name': 'Grants'}, {'Code': 'housing', 'Name': 'Housing -see also- Apartments; Condos; Mobile & Manuf  Homes'}, {'Code': 'interest', 'Name': 'Interest'}, {'Code': 'jurisdiction', 'Name': 'Jurisdiction'}, {'Code': 'landr', 'Name': 'Land Records -see also- Deeds'}, {'Code': 'leasesr', 'Name': 'Leases and Rent'}, {'Code': 'legala', 'Name': 'Legal Aid'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'realp', 'Name': 'Real Property'}, {'Code': 'recordation', 'Name': 'Recordation'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- (specific tax)'}, {'Code': 'statepd', 'Name': 'State Police, Department of'}, {'Code': 'statutl', 'Name': 'Statutes of Limitation'}, {'Code': 'sunset', 'Name': 'Sunset'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0131,,,Delegate Moon,[{'Name': 'Delegate Moon'}],"Clarifying that refusal by a person to disclose information about criminal charges that have been expunged may not be the sole reason for a unit, an official, or an employee of the State or a political subdivision of the State to deny the person's application for a license, permit, registration, or governmental service; providing that refusal by a person to disclose information about criminal charges that have been expunged may not be the sole reason for an educational institution to expel or refuse to admit the person; etc.",Criminal Procedure - Expungement - Adverse Actions and Removal From Maryland Electronic Courts (MDEC) System,In the House - First Reading Judiciary,Judiciary,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e2', 'Name': 'Criminal Law - Procedures'}]","[{'Code': 'cannabis', 'Name': 'Cannabis -see also- CannDist; CannProd; Smok&Vap'}, {'Code': 'crimesp', 'Name': 'Crimes and Punishments -see also- Penalties and Sentnc; etc.'}, {'Code': 'education', 'Name': 'Education -see also- ContEd; DrvEd; HigherEd; etc.'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'expungsr', 'Name': 'Expungement and Shielded Records'}, {'Code': 'licenses', 'Name': 'Licenses -see also- AB Lic; Certifications; DrLic; Permits'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'permits', 'Name': 'Permits -see also- Building Permits'}, {'Code': 'publicscsd', 'Name': 'Public Safety and Correctional Services, Department of'}, {'Code': 'records', 'Name': 'Records -see also- Land Records; Vital Records'}, {'Code': 'registration', 'Name': 'Registration -see also- Motor Vehicle Registration'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0132,,,Delegate Grammer,"[{'Name': 'Delegate Grammer'}, {'Name': 'Delegate Bartlett'}]",Providing that the contents of a certain intercepted communication and evidence derived from the communication may be received in evidence in a certain criminal proceeding under certain circumstances.,Wiretapping and Electronic Surveillance - Intercepted Communications - Admissibility of Evidence,In the House - First Reading Judiciary,Judiciary,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e2', 'Name': 'Criminal Law - Procedures'}]","[{'Code': 'commitco', 'Name': 'Committees and Commissions'}, {'Code': 'communication', 'Name': 'Communications -see also- ElecComm; Intergov; etc.'}, {'Code': 'courts', 'Name': ""Courts -see also- AppCt; Circuit; District; Orphans'; etc.""}, {'Code': 'evidence', 'Name': 'Evidence'}, {'Code': 'grandj', 'Name': 'Grand Juries'}, {'Code': 'hearings', 'Name': 'Hearings'}, {'Code': 'investi', 'Name': 'Investigations and Inquiries -see also- Crim Bckgrnd Invest'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'publico', 'Name': 'Public Officials -see also- Atty Gen; Compt; Coun Admin; etc'}, {'Code': 'surveillance', 'Name': 'Surveillance'}, {'Code': 'trials', 'Name': 'Trials'}, {'Code': 'victims', 'Name': 'Victims -see also- Criminal Injuries Compensation'}, {'Code': 'wiretapping', 'Name': 'Wiretapping'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0133,,,Delegate Bouchat,"[{'Name': 'Delegate Bouchat'}, {'Name': 'Delegate Valentine'}, {'Name': 'Delegate Wivell'}]","Altering the State individual and corporate income tax rates; increasing, from 2% to 3%, the income tax rate imposed on the net capital gains attributable to certain sources of income; exempting from the income tax on net capital gains the first $10,000 in net capital gains of an individual who is at least 65 years old; reducing, from 6% to 3%, the sales and use tax rate; reducing, from 9% to 3%, the sales and use tax rate on alcohol and cannabis sales; repealing the sales and use tax on the sale of certain technology services; etc.",Income Tax and Sales and Use Tax - Rate Reductions and Alterations,In the House - Hearing 2/05 at 1:00 p.m.,Ways and Means,,,,2026-01-14,2026-02-05T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'q3', 'Name': 'Taxes - Income'}, {'Code': 'q4', 'Name': 'Taxes - Sales and Use'}]","[{'Code': 'admissat', 'Name': 'Admissions and Amusement Tax'}, {'Code': 'age', 'Name': 'Age -see also- Age of Maj; Children; Elderly; Inf&Tod.; etc'}, {'Code': 'alcohob', 'Name': 'Alcoholic Beverages -see also- AB-By Subdivision'}, {'Code': 'cannabis', 'Name': 'Cannabis -see also- CannDist; CannProd; Smok&Vap'}, {'Code': 'digitap', 'Name': 'Digital Products -see also- Digital Images'}, {'Code': 'elderlp', 'Name': 'Elderly Persons (65+) -see also- Elder Abuse and Neglect'}, {'Code': 'food', 'Name': 'Food -see also- Meat, Poultry, & Seafood; Milk; etc.'}, {'Code': 'fuel', 'Name': 'Fuel -see also- Coal'}, {'Code': 'fuelt', 'Name': 'Fuel Tax'}, {'Code': 'goodss', 'Name': 'Goods and Services -see also- Retail Sales; TermnSvc; TrfGds'}, {'Code': 'hotelsm', 'Name': 'Hotels and Motels'}, {'Code': 'incomet', 'Name': 'Income Tax'}, {'Code': 'informt', 'Name': 'Information Technology'}, {'Code': 'leasesr', 'Name': 'Leases and Rent'}, {'Code': 'marinas', 'Name': 'Marinas -see also- Piers and Docks'}, {'Code': 'princegc', 'Name': ""Prince George's County""}, {'Code': 'retails', 'Name': 'Retail Sales'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- (specific tax)'}, {'Code': 'salesut', 'Name': 'Sales and Use Tax'}, {'Code': 'tourism', 'Name': 'Tourism -see also- Agritourism'}, {'Code': 'vendinm', 'Name': 'Vending Machines'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0134,,,Delegate Vogel,[{'Name': 'Delegate Vogel'}],Establishing a rebuttable presumption relating to the best interest of an alleged incapacitated or protected person in an action under the Act; authorizing a certain person to petition a certain court for reasonable visitation with a certain alleged incapacitated or protected person; authorizing the court to impose certain restrictions on a certain visitation; establishing a certain immunity from civil liability under certain circumstances; etc.,Family Law - Incapacitated or Protected Persons - Petition for Visitation,In the House - Hearing 2/05 at 2:00 p.m.,Judiciary,,,,2026-01-14,2026-02-05T14:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'd4', 'Name': 'Family Law'}]","[{'Code': 'abuse', 'Name': 'Abuse -see also- Child Abuse; Dom. Viol.; Elder Abuse; etc'}, {'Code': 'advancmd', 'Name': 'Advance Medical Directives'}, {'Code': 'attorneys', 'Name': 'Attorneys'}, {'Code': 'attornf', 'Name': ""Attorneys' Fees""}, {'Code': 'civila', 'Name': 'Civil Actions -see also- Small Claims'}, {'Code': 'communication', 'Name': 'Communications -see also- ElecComm; Intergov; etc.'}, {'Code': 'courts', 'Name': ""Courts -see also- AppCt; Circuit; District; Orphans'; etc.""}, {'Code': 'death', 'Name': 'Death -see also- Homicide; Murder; Wrongful Death'}, {'Code': 'evaluar', 'Name': 'Evaluations and Reviews'}, {'Code': 'evidence', 'Name': 'Evidence'}, {'Code': 'funerals', 'Name': 'Funerals'}, {'Code': 'healthcf', 'Name': 'Health Care Facilities -see also- Clinics; Hospices; etc'}, {'Code': 'healtho', 'Name': 'Health Occupations -see also- (specific health occupations)'}, {'Code': 'hearings', 'Name': 'Hearings'}, {'Code': 'jurisdiction', 'Name': 'Jurisdiction'}, {'Code': 'kinship', 'Name': 'Kinship -see also- Parents and Guardians'}, {'Code': 'liability', 'Name': 'Liability'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'parentg', 'Name': 'Parents and Guardians'}, {'Code': 'petitions', 'Name': 'Petitions'}, {'Code': 'powera', 'Name': 'Power of Attorney'}, {'Code': 'process', 'Name': 'Process Serving'}, {'Code': 'protecpo', 'Name': 'Protection and Peace Orders'}, {'Code': 'spouses', 'Name': 'Spouses'}, {'Code': 'time', 'Name': 'Time'}, {'Code': 'visitar', 'Name': 'Visitation Rights -see also- Chlid Custody'}, {'Code': 'vulnera', 'Name': 'Vulnerable Adults -see also- DevDisab; EldPers; PhysDisab'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0135,,,Delegate Schindler,"[{'Name': 'Delegate Schindler'}, {'Name': 'Delegate Behler'}, {'Name': 'Delegate Qi'}]",Authorizing the governing body of a political subdivision to designate certain noncontiguous blighted areas as development districts.,Economic Development - Tax Increment Financing - Noncontiguous Areas,In the House - Hearing 2/17 at 1:00 p.m.,Economic Matters,,,,2026-01-14,2026-02-17T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'c8', 'Name': 'Economic Development'}]","[{'Code': 'baltimci', 'Name': 'Baltimore City'}, {'Code': 'boundaries', 'Name': 'Boundaries'}, {'Code': 'commerb', 'Name': 'Commerce and Business -see also- ElectrComm; ForeignTr; etc.'}, {'Code': 'urbanr', 'Name': 'Urban Renewal -see also- Commercial Rehabilitation'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0136,,,Delegate Vogel,[{'Name': 'Delegate Vogel'}],Altering an exemption that allows an official of the Legislative Branch to accept a gift of food or beverages as part of a meal or reception to which a legislative unit is invited to instead allow an official of the Legislative Branch to accept a gift of food or beverages at a meal or reception to which all members of the General Assembly are invited and that was open to the public; altering the written invitation and registration report requirements a regulated lobbyist must meet under certain circumstances; etc.,Maryland Public Ethics Law - Officials of the Legislative Branch - Gifts of Food and Beverages,"In the House - First Reading Government, Labor, and Elections","Government, Labor, and Elections",,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'g2', 'Name': 'Ethics'}]","[{'Code': 'disclosure', 'Name': 'Disclosure'}, {'Code': 'ethics', 'Name': 'Ethics'}, {'Code': 'food', 'Name': 'Food -see also- Meat, Poultry, & Seafood; Milk; etc.'}, {'Code': 'generaa', 'Name': 'General Assembly -see also- AELR Cmte; LegislativePolCmte'}, {'Code': 'gifts', 'Name': 'Gifts'}, {'Code': 'internet', 'Name': 'Internet -see also- Internet Access'}, {'Code': 'legislsd', 'Name': 'Legislative Services, Department of'}, {'Code': 'lobbying', 'Name': 'Lobbying'}, {'Code': 'publico', 'Name': 'Public Officials -see also- Atty Gen; Compt; Coun Admin; etc'}, {'Code': 'reports', 'Name': 'Reports'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0137,,SB0222,Delegate Kaufman,"[{'Name': 'Delegate Kaufman'}, {'Name': 'Delegate Arikan'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Taylor'}]",Establishing qualifications for an individual to be appointed by a court as a custody evaluator; and authorizing a court to waive certain requirements for a court employee or an individual under contract with the court under certain circumstances.,Family Law - Child Custody Evaluators - Qualifications,In the House - Hearing 1/29 at 2:00 p.m.,Judiciary,,,,2026-01-14,2026-01-29T14:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'd4', 'Name': 'Family Law'}]","[{'Code': 'childan', 'Name': 'Child Abuse and Neglect'}, {'Code': 'childcus', 'Name': 'Child Custody -see also- Visitation'}, {'Code': 'contine', 'Name': 'Continuing Education'}, {'Code': 'counset', 'Name': 'Counselors and Therapists'}, {'Code': 'courts', 'Name': ""Courts -see also- AppCt; Circuit; District; Orphans'; etc.""}, {'Code': 'divorce', 'Name': 'Divorce -see also- Annulment; Family Law'}, {'Code': 'domestv', 'Name': 'Domestic Violence -see also- Child Abuse & Neglect'}, {'Code': 'evaluar', 'Name': 'Evaluations and Reviews'}, {'Code': 'jobt', 'Name': 'Job Training -see also- Continuing Ed; Vocational Rehab'}, {'Code': 'licenses', 'Name': 'Licenses -see also- AB Lic; Certifications; DrLic; Permits'}, {'Code': 'mentalbh', 'Name': 'Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'physicians', 'Name': 'Physicians -see also- MedExmnrs; Pediatr; Psychiatrists etc.'}, {'Code': 'prices', 'Name': 'Prices -see also- Consumer Price Index'}, {'Code': 'psychologists', 'Name': 'Psychologists'}, {'Code': 'socialw', 'Name': 'Social Workers'}, {'Code': 'waivers', 'Name': 'Waivers'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0138,,SB0230,Delegate Bartlett,"[{'Name': 'Delegate Bartlett'}, {'Name': 'Delegate Crutchfield'}, {'Name': 'Delegate Embry'}, {'Name': 'Delegate Simmons'}, {'Name': 'Delegate Williams'}]","Establishing that engaging in sexual contact with another without the consent of the other in connection with a first-, second-, or third- degree burglary constitutes sexual offense in the third degree; and altering the definitions of ""tier I sex offender"", ""tier II sex offender"", and ""tier III sex offender"" applicable to provisions relating to sex offender registration to include certain acts constituting sexual offense in the third degree.",Criminal Law - Third-Degree Sexual Offense - Burglary,In the House - Hearing 2/03 at 1:00 p.m.,Judiciary,,,,2026-01-14,2026-02-03T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e1', 'Name': 'Criminal Law - Substantive Crimes'}]","[{'Code': 'burglary', 'Name': 'Burglary'}, {'Code': 'crimesp', 'Name': 'Crimes and Punishments -see also- Penalties and Sentnc; etc.'}, {'Code': 'jurisdiction', 'Name': 'Jurisdiction'}, {'Code': 'minors', 'Name': 'Minors -see also- Age of Majority; Youth'}, {'Code': 'registration', 'Name': 'Registration -see also- Motor Vehicle Registration'}, {'Code': 'sexualof', 'Name': 'Sexual Offenses'}, {'Code': 'victims', 'Name': 'Victims -see also- Criminal Injuries Compensation'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0139,,SB0009,Delegate Rogers,[{'Name': 'Delegate Rogers'}],"Establishing November 11 as a tax-free day each year during which an exemption from the sales and use tax is provided for sales to certain veterans if the taxable price of the item for sale is less than $2,000; authorizing the Comptroller, in the Comptroller's sole discretion, to suspend the tax-free day; and requiring an individual, in order to qualify for the exemption, to provide to the vendor evidence of eligibility for the exemption.",Sales and Use Tax - Tax-Free Day - Veterans' Day,In the House - Hearing 1/29 at 1:00 p.m.,Ways and Means,,,,2026-01-14,2026-01-29T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'q4', 'Name': 'Taxes - Sales and Use'}]","[{'Code': 'comptroller', 'Name': 'Comptroller'}, {'Code': 'driverl', 'Name': ""Drivers' Licenses""}, {'Code': 'evidence', 'Name': 'Evidence'}, {'Code': 'exemptions', 'Name': 'Exemptions'}, {'Code': 'holidasd', 'Name': 'Holidays and Special Dates'}, {'Code': 'identificatio', 'Name': 'Identification -see also- Biometrics; Fingerprinting; DrLics'}, {'Code': 'prices', 'Name': 'Prices -see also- Consumer Price Index'}, {'Code': 'retails', 'Name': 'Retail Sales'}, {'Code': 'salesut', 'Name': 'Sales and Use Tax'}, {'Code': 'veterans', 'Name': 'Veterans'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0140,,,Delegate Woods,[{'Name': 'Delegate Woods'}],Requiring each county board of education and the Baltimore City Board of School Commissioners to hold an election for a vacant elected board member position that occurs 55 days or more before the candidate filing deadline for a certain election; requiring each county board and the Baltimore City Board of School Commissioners to appoint a replacement for a vacant elected board member position that occurs 54 days or less before a certain candidate filing deadline for a certain election; etc.,County Boards of Education and Baltimore City Board of School Commissioners - Vacancy Procedures - Alterations,In the House - First Reading Ways and Means,Ways and Means,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'f1', 'Name': 'Primary and Secondary Education'}]","[{'Code': 'advertising', 'Name': 'Advertising'}, {'Code': 'baltimci', 'Name': 'Baltimore City'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'educatb', 'Name': 'Education, Boards of'}, {'Code': 'education', 'Name': 'Education -see also- ContEd; DrvEd; HigherEd; etc.'}, {'Code': 'elections', 'Name': 'Elections'}, {'Code': 'openg', 'Name': 'Open Government'}, {'Code': 'politica', 'Name': 'Political Candidates'}, {'Code': 'time', 'Name': 'Time'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0141,,SB0084,Delegate Foley,[{'Name': 'Delegate Foley'}],"Providing collective bargaining rights to certain graduate assistants  at a system institution, Morgan State University, or St. Mary's College of Maryland; defining ""graduate assistant"" as a graduate student at a system institution, Morgan State University, or St. Mary's College of Maryland who is a teaching, administrative, or research assistant or in a comparable position, a fellow, or a postdoctoral intern; and establishing a separate collective bargaining unit for the graduate assistants.",State Personnel - Collective Bargaining - Graduate Assistants,"In the House - First Reading Government, Labor, and Elections and Appropriations","Government, Labor, and Elections",Appropriations,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'p4', 'Name': 'State Government - Personnel'}, {'Code': 'f5', 'Name': 'Education - Miscellaneous'}]","[{'Code': 'appreni', 'Name': 'Apprenticeships and Internships'}, {'Code': 'collecb', 'Name': 'Collective Bargaining'}, {'Code': 'highere', 'Name': 'Higher Education -see also- Comm Colleges; Med Schools; etc.'}, {'Code': 'statee', 'Name': 'State Employees'}, {'Code': 'stateuc', 'Name': 'State Universities and Colleges'}, {'Code': 'students', 'Name': 'Students'}, {'Code': 'teachers', 'Name': 'Teachers'}, {'Code': 'workle', 'Name': 'Work, Labor, and Employment -see also- JobTrn; Leave; etc.'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
