YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders
2026 Regular Session,HB0011,Anne Arundel County - Sheriff - Appointment of Majors,Requiring the Sheriff of Anne Arundel County to appoint three majors at a salary determined by the County Council of Anne Arundel County.,This bill requires the Sheriff of Anne Arundel County to appoint three majors with salaries determined by the County Council of Anne Arundel County.,False,2026.0,,,Sheriff of Anne Arundel County,Anne Arundel County Sheriff's Office and the County Council
2026 Regular Session,HB0012,Juvenile Sex Offender Registry - Qualifying Offenses and Access,Authorizing a local superintendent or the superintendent's designee to access the registry of juvenile sex offenders; and adding certain offenses to the list of offenses for which a person adjudicated delinquent is required to be included in the registry of juvenile sex offenders.,"This bill expands the list of criminal offenses for which a juvenile adjudicated delinquent must be included in the Maryland juvenile sex offender registry. It also authorizes local school superintendents or their designees to access the registry, which was previously limited to law enforcement personnel.",False,2026.0,,,Maryland Department of Juvenile Services,"Juveniles adjudicated delinquent for sex-related offenses, law enforcement personnel, and local school superintendents."
2026 Regular Session,HB0013,Income Tax - Subtraction Modification - Public Safety Employee Retirement Income (Supporting Our 9-1-1 Specialists Act),"Altering a certain subtraction modification under the Maryland income tax for retirement income attributable to an individual's employment as a public safety employee to include certain retirement income attributable to an individual's employment as a 9-1-1 specialist; and applying the Act to all taxable years beginning after December 31, 2025.","This bill expands the Maryland income tax subtraction modification for retirement income received by public safety employees to include 9-1-1 specialists. Eligible individuals who are at least 55 years old can subtract the first $15,000 of retirement income attributable to their service as a 9-1-1 specialist from their federal adjusted gross income when determining Maryland adjusted gross income.",False,2026.0,,,Comptroller of Maryland,Retired 9-1-1 specialists in Maryland aged 55 and older
2026 Regular Session,HB0014,"County Boards of Education - Bullying, Harassment, or Intimidation - Information Collection and Reporting Requirements","Altering the contents of a certain bullying, harassment, or intimidation form to require, if the incident is believed to have been motivated in whole or in substantial part by an actual or perceived personal characteristic including race, national origin, marital status, sex, sexual orientation, gender identity, religion, ancestry, physical attributes, socioeconomic status, familial status, or physical or mental ability or disability, the identification of those personal characteristics, if known; etc.","This bill requires county boards of education to update bullying, harassment, or intimidation report forms to include whether an incident was motivated by the victim's actual or perceived personal characteristics. It further mandates that each county board publish an annual summary of these reported incidents on its website by January 31 each year, disaggregated by the motivating personal characteristic, while ensuring individual identities remain confidential.",False,2026.0,,,Maryland State Department of Education and County Boards of Education,"Public school students, parents, guardians, and school staff in Maryland"
2026 Regular Session,HB0015,Public Information Act - Public Records - Nonprofit Organizations,"Altering the definition of a ""public record"" under the Public Information Act to include certain documentary material made by a nonprofit organization that receives $50,000 or more annually from State grants, State bond proceeds, or local impact grants; and altering the applicability of certain rules and limitations under the Public Information Act to include certain nonprofit organizations.","This bill expands the scope of the Maryland Public Information Act to include certain nonprofit organizations. Specifically, it defines documentary material produced or received by a nonprofit organization as a public record if the organization receives $50,000 or more annually from State grants, State bond proceeds, or local impact grants. Such organizations will be required to limit the personal information they collect to what is necessary for their governmental purpose and must adopt policies for the proactive disclosure of public records.",False,2026.0,,,Official custodians of records within covered nonprofit organizations and the Public Information Act Compliance Board,"Nonprofit organizations receiving at least $50,000 in annual State or local funding, employees of those organizations, and members of the public requesting access to records"
2026 Regular Session,HB0016,Correctional Services - Maryland Parole Commission - Members and Hearing Examiners,Altering the number of members of the Maryland Parole Commission from 10 to at least 15 but not more than 20 members; altering the appointing authority and method of appointment of parole commissioners; and repealing the authority of the Commission to appoint and utilize hearing examiners.,"This bill increases the size of the Maryland Parole Commission from 10 members to between 15 and 20 members and establishes a nomination panel to recommend candidates to the Governor for appointment. It also eliminates the use of hearing examiners, requiring that parole hearings be conducted by Commission members, and provides for the reallocation of salary funds from hearing examiners to commissioners.",False,2026.0,,,Maryland Parole Commission,"Incarcerated individuals, victims of crimes, and members of the Maryland Parole Commission"
2026 Regular Session,HB0017,Estates and Trusts - Venue for Administrative and Judicial Probate and Application of Inheritance Tax,"Altering certain criteria for determining the venue for administrative or judicial probate of decedents who were not domiciled in the State; providing that, for purposes of the application of the Maryland inheritance tax, the situs of intangible personal property is the domicile of the decedent; repealing a certain exemption from the Maryland inheritance tax for personal property that passes from a nonresident decedent; etc.","This bill modifies the legal requirements for determining the venue of probate for individuals who were not domiciled in Maryland at the time of their death. It also clarifies that for Maryland inheritance tax purposes, the location (situs) of intangible personal property is the decedent's place of domicile and repeals an inheritance tax exemption for certain personal property belonging to nonresident decedents.",False,,,,Maryland Comptroller and the Registers of Wills,"Nonresident decedents with property or interests in Maryland, beneficiaries of estates, and personal representatives."
2026 Regular Session,HB0018,Transportation Network Companies - Transportation Network Operators - Minimum Payments for Passenger Trips,"Requiring a transportation network company to pay operators, after July 1, 2026, and for any passenger trip originating in the State,  $1.66 per mile and $0.40 per minute, an additional $1.18 per mile for an operator using a wheelchair accessible vehicle, at least $5.00 for any passenger trip, and at least 80% of any cancellation fee charged by a transportation network company; and adjusting the minimum amount paid per mile and per minute by inflation each year.","This bill requires transportation network companies to provide minimum compensation to operators for passenger trips originating in Maryland. Starting July 1, 2026, companies must pay at least $1.66 per mile and $0.40 per minute, with a minimum trip payment of $5.00, and must also provide additional compensation for wheelchair-accessible vehicles and at least 80% of any cancellation fees. The bill also mandates annual inflation adjustments to these minimum rates based on the Consumer Price Index.",False,2026.0,,,Maryland Public Service Commission,"Transportation network companies, transportation network operators (drivers), and passengers in Maryland."
2026 Regular Session,HB0019,Higher Education - Maryland Public Service Loan Forgiveness Program - Establishment,"Establishing the Maryland Public Service Loan Forgiveness Program to assist in the repayment of higher education loans owed by State employees in order to attract, recruit, and retain these employees; requiring the Office of Student Financial Assistance within the Maryland Higher Education Commission to administer the Program; and requiring the Office to report to the General Assembly on or before January 1 of each year on the implementation of the Program and any effects the Program has on State employee recruitment or retention.","This bill establishes the Maryland Public Service Loan Forgiveness Program to provide higher education loan repayment assistance to State employees. To qualify, an employee must have graduated from a Maryland college or university and completed at least 10 years of service with the State. The program aims to improve recruitment and retention of State workers by providing awards up to 100% of their remaining loan debt, subject to the availability of funding.",True,2026.0,,,Office of Student Financial Assistance within the Maryland Higher Education Commission,"Maryland State employees in the executive, legislative, and judicial branches who graduated from Maryland institutions of higher education and have at least 10 years of state service."
2026 Regular Session,HB0020,Baltimore City - Alcoholic Beverages - Related Event Promoter's Permit,Reestablishing a related event promoter's permit in Baltimore City; authorizing the Board of License Commissioners for Baltimore City to issue a related event promoter's permit to certain applicants under certain circumstances; and requiring a holder of a State caterer's license to obtain a certain Class C per diem license from the Board before the holder may act as a participating license holder at a related event.,"This bill reestablishes the Related Event Promoter’s Permit in Baltimore City for social events related to the CIAA Basketball Tournament involving 75 or more participants. It requires promoters and participating license holders to obtain specific permits from the Board of License Commissioners for Baltimore City, mandates that state caterers obtain local per diem licenses, establishes application and permit fees based on venue capacity, and outlines penalties for non-compliance.",False,2026.0,2029.0,,Board of License Commissioners for Baltimore City,"Event promoters, Baltimore City alcoholic beverages license holders, State caterer's license holders, and organizers of events related to the CIAA Basketball Tournament."
2026 Regular Session,HB0021,Social Media Platforms - Vloggers and Video Content Featuring Minors (Child Influencers Protection Act),Requiring a vlogger who creates video content that is posted on a social media platform and features a certain child to compensate the child under certain circumstances; establishing requirements on social media platforms relating to deleting video content featuring minor children; and applying certain requirements relating to the labor of minors to children compensated by vloggers.,The Child Influencers Protection Act requires vloggers to compensate children who are featured in their social media content if certain viewership or revenue thresholds are met. Compensation must be placed into a trust for the child until they reach the age of 18. The bill also allows individuals who were featured in such content as children to request the permanent deletion of that content once they reach adulthood and ensures that Maryland child labor laws apply to these minors.,False,2026.0,,,Maryland Department of Labor,"Child influencers, vloggers, parents and guardians of child influencers, and social media platforms"
2026 Regular Session,HB0022,Correctional Services - Incarcerated Individuals - Identification Cards and Driver's Licenses,Requiring a certain correctional facility to return a certain identification card or driver's license to a certain incarcerated individual at or before the time of the individual's release from confinement under certain circumstances; requiring the Commissioner of Corrections and the managing official of a local correctional facility to provide certain forms and work with a certain incarcerated individual to ensure a certain identification card or driver's license is available at the time of release from confinement; etc.,"This bill requires State and local correctional facilities to return a valid photo identification card or driver's license to an incarcerated individual upon their release. It also mandates that, for individuals serving a sentence of one year or more, the Commissioner of Correction or the local facility's managing official must begin working with the individual six months prior to their anticipated release to ensure they have a valid Motor Vehicle Administration-issued identification card or driver's license at the time of release.",True,2026.0,,,Commissioner of Correction and the managing official of each local correctional facility,Incarcerated individuals in State and local correctional facilities
2026 Regular Session,HB0023,Motor Vehicle Administration - Identification Cards - Issuance to Minors,Prohibiting the Motor Vehicle Administration from requiring a parent or legal guardian of a minor at least 15 years of age to cosign or be present at the time of submission of the minor's application for an identification card; and requiring the Administration to adopt regulations establishing acceptable forms of documentation  establishing proof of residency that a minor at least 15 years of age may use in an application for an identification card.,"This bill prohibits the Motor Vehicle Administration from requiring a parent or legal guardian to be present or cosign for a minor at least 15 years old who is applying for an identification card. It also requires the Administration to adopt regulations for acceptable proof of residency for these minors, including school records, documentation from homeless services providers, and court documents.",False,2026.0,,,Motor Vehicle Administration,Maryland residents at least 15 years of age who are applying for a state identification card
2026 Regular Session,HB0024,County Boards of Education - Volunteer Aides - School Chaplain,Authorizing each county board of education to use a chaplain as a volunteer aide in schools to provide support services to students.,This bill authorizes Maryland county boards of education to use chaplains as volunteer aides in public schools to provide support services to students. The bill clarifies that these chaplains must assist regular employees rather than replace educational personnel and provides them with liability insurance and workers' compensation coverage as agents of the county board.,False,2026.0,,,Maryland county boards of education and county superintendents,"Students in Maryland public schools, chaplains interested in volunteering, and local county boards of education."
2026 Regular Session,HB0025,Family Law - Grandparent Visitation,"Altering the circumstances under which an equity court is authorized to grant visitation rights to a grandparent of a child to include that the petition for visitation rights was filed after an action for divorce, annulment, custody, or paternity was filed by a parent of the child; and requiring an equity court to grant certain visitation rights if the child resided with the grandparent for at least 12 months, or the child's parent, who is the child of the grandparent, is deceased, and the court finds it in the best interests of the child.","This bill modifies the criteria and procedures for Maryland equity courts to grant visitation rights to grandparents. It establishes specific scenarios where a court may or must grant visitation, such as when a parent is deceased, the child has lived with the grandparent for at least 12 months, or during divorce and custody proceedings, provided the visitation is in the child's best interest and does not harm the parent-child relationship.",False,,,,Maryland equity courts,"Grandparents, parents, and children involved in custody or visitation proceedings."
2026 Regular Session,HB0026,Public Schools - Open Enrollment - Policies and Funding,"Authorizing a county board of education to adopt an open enrollment policy to authorize certain students to attend, free of charge, a public school in a county other than the county where the student is domiciled with the student's parent or guardian, subject to certain requirements; requiring county boards to include certain students in full-time equivalent enrollment counts; and directing certain funding to the county in which certain students are enrolled in a public school under an open enrollment policy.","This bill authorizes Maryland county boards of education to adopt open enrollment policies, which allow students to attend public schools in a county other than the one in which they reside. It establishes requirements for these policies, including application processes, enrollment preferences for zoned students and siblings, and public reporting of school capacity. The bill also defines a funding mechanism where the sending county transfers per-pupil funds to the receiving county, and the State provides supplemental funding if the sending county's per-pupil expenditure is lower than the receiving county's.",True,2026.0,,,County boards of education,"Maryland public school students, parents and guardians, and local school systems."
2026 Regular Session,HB0027,Maryland Technology Development Corporation - Long COVID Innovation Grant and Loan Program,"Requiring the Maryland Technology Development Corporation to establish a grant and loan program to provide grants and loans for Long COVID innovation; requiring the Corporation to contract with an independent review committee composed of scientific experts in the field of Long COVID; establishing the Maryland Long COVID Research Fund under the administration of the Corporation as a special, nonlapsing fund; and requiring that the interest earnings of the Fund be credited to the Fund.","This bill requires the Maryland Technology Development Corporation (TEDCO) to establish the Long COVID Innovation Grant and Loan Program and the Maryland Long COVID Research Fund. The program provides grants and loans to public and private entities in Maryland for research, product development, and manufacturing related to Long COVID treatments, with applications reviewed by an independent committee of scientific experts.",True,2026.0,,,Maryland Technology Development Corporation,"Public and private entities in Maryland involved in medical research and manufacturing, and Maryland residents affected by Long COVID."
2026 Regular Session,HB0028,Higher Education - Private Career Schools - Advertising,Authorizing the Secretary of Higher Education to allow certain private career schools to advertise certain information and collect contact information from potential new students before receiving a certificate of approval from the Maryland Higher Education Commission to operate a private career school in the State under certain circumstances; requiring an approved private career school to advertise only information relating to the opening of the private career school and include a certain disclosure; etc.,This bill authorizes the Maryland Secretary of Higher Education to allow private career schools to advertise and collect contact information from potential students before receiving a formal certificate of approval to operate. These schools must disclose that their approval is pending and are prohibited from collecting any fees or entering into enrollment agreements until they are fully certified.,False,2026.0,,,Secretary of Higher Education,Private career schools and potential students
2026 Regular Session,HB0029,County Boards of Education - Post College and Career Readiness Pathways - Payment of Costs,"Authorizing a county board of education to develop and establish income eligibility guidelines and procedures for payment of costs for a certain post college and career readiness (post-CCR) pathway, except that a county board must provide access to the post-CCR pathway at no cost to the student or student's parents or guardians if the student's family income is below 400% of the federal poverty level.","This bill authorizes Maryland county boards of education to establish income eligibility guidelines for the payment of costs associated with competitive entry college preparatory programs, such as International Baccalaureate or Advanced Placement courses. However, the bill mandates that students whose family income is below 400% of the federal poverty level must be provided access to these programs at no cost to the student or their parents or guardians.",False,2026.0,,,County Boards of Education,"Public school students meeting college and career readiness standards, parents and guardians, and county boards of education."
2026 Regular Session,HB0030,Public Safety - Department of State Police - Police-Initiated Towing - Alterations,"Altering provisions related to the rates the Department of State Police sets for towing companies involved in police-initiated towing of motor vehicles to include the towing and recovery of light-duty vehicles; and defining ""light-duty towing"" as towing and recovery of a vehicle including trailers or semitrailers with a gross vehicle weight rating of 10,000 pounds or less.","This bill alters the regulations regarding police-initiated towing services overseen by the Maryland Department of State Police. It expands the Department's rate-setting authority to include light-duty towing (vehicles 10,000 pounds or less) and modifies the definition of police-initiated towing to encompass all motor vehicles rather than just commercial ones. It also stipulates that approved rates for light-duty towing may not exceed a certain percentage of the rates for medium-duty towing.",False,2026.0,,,Maryland Department of State Police,"Towing and recovery companies, motor vehicle owners and operators, and Maryland State Police personnel"
2026 Regular Session,HB0031,Police Discipline - Order to Show Cause,Authorizing a police officer who is denied a certain right to apply to the circuit court at any time before a hearing is held by the hearing board for an order that directs the law enforcement agency to show cause why the right should not be granted.,"This bill allows a police officer who is denied a right during disciplinary proceedings to apply to the circuit court for an order requiring the law enforcement agency to explain why the right should not be granted. It specifies the appropriate jurisdiction for such applications based on whether the law enforcement agency is local, statewide, or bicounty.",False,2026.0,,,Maryland Circuit Courts and Maryland Law Enforcement Agencies,Maryland police officers and law enforcement agencies
2026 Regular Session,HB0032,Local Law Enforcement Vehicles - Requirements - Automated External Defibrillators,Requiring all local law enforcement vehicles to carry an automated external defibrillator (AED); and requiring a local law enforcement agency to maintain the functionality of an AED carried by a local law enforcement vehicle.,This bill requires all local law enforcement vehicles in Maryland to be equipped with an automated external defibrillator (AED) and mandates that the local law enforcement agencies maintain the functionality of these devices.,True,2026.0,,,Local law enforcement agencies,"Local law enforcement agencies, law enforcement officers, and the general public in need of emergency cardiac intervention"
2026 Regular Session,HB0033,Income Tax - Itemized Deductions - Charitable Donations,"Excluding certain charitable contributions from a limitation on the amount of itemized deductions allowed for certain individuals under the Maryland income tax; and applying the Act to taxable years beginning after December 31, 2025.","This bill modifies the calculation of itemized deductions for Maryland income tax purposes by excluding charitable contributions from the 7.5% reduction that applies to taxpayers with federal adjusted gross incomes exceeding $100,000 for married individuals filing separately or $200,000 for other filers. Effectively, it allows high-income taxpayers to maintain the full value of their charitable contribution deductions.",False,2026.0,,,Comptroller of Maryland,"Maryland taxpayers who itemize deductions and have federal adjusted gross income exceeding $100,000 for married individuals filing separately or $200,000 for all other filers"
2026 Regular Session,HB0034,Municipalities - Open Drainage Inlets - Required Grating Systems (Mason's Law),Requiring a municipality to construct or install an approved grating system which places a cover over the opening of an open drainage inlet in order to allow stormwater runoff to enter the drainage inlet while preventing large debris from entering the drainage inlet; requiring the approved grating system be installed on a new or existing open drainage inlet within the municipality; etc.,"Known as Mason's Law, this bill requires Maryland municipalities to install approved grating systems on all new and existing open drainage inlets with a diameter of 12 inches or more. These systems must allow for stormwater runoff while preventing large debris from entering and must be securely fastened to prevent removal without tools or displacement by flood waters.",False,2026.0,,,Maryland Municipalities,Maryland municipalities and the general public
2026 Regular Session,HB0035,Local Government - Regulatory Powers - Regulation of Tree of Heaven,Authorizing the governing body of a county or municipality to adopt certain ordinances to regulate trees of heaven; and authorizing the governing body of a county or municipality to establish a bounty program to incentivize the removal of trees of heaven.,"This bill authorizes Maryland counties and municipalities to regulate or prohibit the sale, planting, and growth of the 'Tree of Heaven,' an invasive plant species. It also permits local governments to establish bounty programs to incentivize the removal of these trees and to enforce regulations through civil fines and mitigation requirements.",False,2026.0,,,Governing bodies of Maryland counties and municipalities,"Maryland property owners, local governments, and the agricultural community"
2026 Regular Session,HB0036,"Annotated Code - Terminology - Clergy and Churches, Faith Institutions, and Places of Worship","Altering certain terminology throughout the Annotated Code that refers to a clergyman to refer to a member of the clergy and churches to refer to faith institutions and places of worship; and defining ""faith institution"" as any Christian, Jewish, Islamic, Buddhist, or Hindu congregation, or any other religious society, congregation, or denomination.",This bill updates terminology throughout the Annotated Code of Maryland to replace the term 'clergyman' with 'member of the clergy' and 'church' with 'faith institution' or 'place of worship' to ensure the language is more inclusive of various religious traditions.,False,2026.0,,,Maryland General Assembly,"Clergy members, faith institutions, religious organizations, and places of worship in Maryland."
2026 Regular Session,HB0037,General Assembly - Employment and Leave Protection for Members,"Prohibiting an employer from depriving of employment or taking certain other actions against an employee who is a member of the General Assembly and who loses employment time to performing responsibilities as a member of the General Assembly; and establishing a penalty of a fine not exceeding $1,000 for a violation of the Act.","This bill establishes employment and leave protections for members of the Maryland General Assembly. It prohibits employers from firing, threatening, or coercing an employee because they lose time from work to perform legislative duties, and it prevents employers from requiring members to use annual, sick, or vacation leave for these responsibilities. Additionally, it restricts employers from requiring shifts immediately following or preceding legislative duties and subjects violators to a fine of up to $1,000.",False,,,,Maryland Department of Labor,Members of the Maryland General Assembly and Maryland employers
2026 Regular Session,HB0038,Financial Institutions - Licensing of Affiliated Insurance Producer-Mortgage Loan Originators - Alteration,Requiring the Commissioner of Financial Regulation to approve a certain mortgage lender that meets certain criteria as an affiliated insurance producer-mortgage loan originator if the mortgage lender is in good standing with the Commissioner and any other regulator to which it is subject and is in material compliance with applicable state and federal law.,"House Bill 38 expands the definition of an affiliated insurance producer-mortgage loan originator to include individuals who originate mortgage loans for a single mortgage lender that is not a financial institution. The bill requires the Commissioner of Financial Regulation to approve such mortgage lenders based on their good standing and legal compliance. It also outlines licensing application processes, supervision requirements, and surety bond obligations for these originators.",False,2026.0,,,Commissioner of Financial Regulation,"Licensed insurance producers, mortgage lenders, and mortgage loan originators"
2026 Regular Session,HB0039,Net Energy Metering - Portable Solar Electric Generating Facilities,Authorizing the use of a certain portable solar electric generating facility by an eligible customer-generator for the purpose of net energy metering.,"This bill expands Maryland's net energy metering program by authorizing the use of portable solar electric generating facilities. It defines portable solar as a moveable photovoltaic facility with a capacity of no more than 120 kilowatts that is designed to be plugged into a standard 120-volt outlet. The bill allows customers using these portable systems to be considered eligible customer-generators, enabling them to offset their electricity bills and receive credit for excess energy generated.",False,2026.0,,,Maryland Public Service Commission,"Maryland electricity customers, portable solar energy equipment owners, and electric utility companies"
2026 Regular Session,HB0040,Public Utilities - Transmission Lines - Advanced Transmission Technologies,"Altering the definition of ""qualified generator lead line"" for provisions of law regarding certificates of public convenience and necessity; requiring an applicant for a certificate of public convenience and necessity for the construction of an overhead transmission line to include certain information in its application; requiring the Public Service Commission to consider certain evidence before taking action on a certain application for a certificate of public convenience and necessity; etc.",This bill requires applicants for overhead transmission line construction to evaluate and provide evidence for the use of advanced transmission technologies and other alternatives during the certification process. It also mandates that transmission line owners or operators submit quadrennial reports to the Public Service Commission regarding grid congestion and the feasibility of implementing technologies like grid-enhancing hardware or high-performance conductors to improve efficiency.,False,2026.0,,,Public Service Commission,"Electric companies, owners and operators of overhead transmission lines, and Maryland electricity ratepayers."
