Agency Name,URL,Summary
Department of Service and Civic Innovation,https://dsci.maryland.gov/,"The Maryland Department of Service and Civic Innovation (DSCI) is a cabinet-level agency established in 2023 to promote service and volunteerism as a primary tool for community building and workforce development in Maryland. Its primary responsibilities include overseeing the **Maryland Corps** and the **Service Year Option** program—a first-in-the-nation initiative that offers high school graduates and adults paid service opportunities with a living wage, mentorship, and professional training. The agency also manages **AmeriCorps Maryland** and serves as the state’s intermediary for securing federal funding to support local volunteer efforts. For Maryland residents, the department performs work that bridges the gap between education and the workforce by connecting participants with ""Host Site Partners""—ranging from nonprofits to government agencies—where they gain hands-on experience in fields like public health, environmental conservation, and public safety while earning scholarships for further education or vocational certification."
Department of Transportation,https://www.mdot.maryland.gov/,"The **Maryland Department of Transportation (MDOT)** is a cabinet-level state agency responsible for the planning, construction, maintenance, and operation of Maryland’s comprehensive multi-modal transportation network. Established in 1971, MDOT’s primary mission is to provide safe, sustainable, and inclusive transportation solutions that connect residents to employment, healthcare, and economic opportunities. For Maryland residents, the agency performs a vast range of essential services through its specialized business units: it manages driver’s licenses and vehicle registrations via the **Motor Vehicle Administration (MVA)**, operates regional bus and rail systems through the **Maryland Transit Administration (MTA)**, and maintains more than 18,000 miles of state highways via the **State Highway Administration (SHA)**. Additionally, MDOT oversees critical infrastructure such as **BWI Thurgood Marshall Airport**, the **Port of Baltimore**, and the state's toll facilities, while also investing in bike, pedestrian, and micromobility projects to enhance local connectivity and environmental stewardship."
Department of Veterans & Military Families,https://veterans.maryland.gov/,"The **Maryland Department of Veterans & Military Families (DVMF)**, formerly the Maryland Department of Veterans Affairs, is a state executive agency dedicated to supporting Maryland’s veterans, active-duty service members, and their families. Its primary responsibility is to act as an advocate and resource hub, helping residents navigate and secure federal, state, and local benefits, including disability compensation, healthcare, and education grants. The agency operates five core programs: **Service and Benefits**, which provides claims counseling and assistance; the **Charlotte Hall Veterans Home**, a long-term care and skilled nursing facility; the **Cemetery and Memorials Program**, which manages state veterans' cemeteries and monuments; **Outreach and Advocacy**, which connects the community to available resources; and the **Maryland Veterans Trust Fund**, which provides emergency financial grants to veterans in need. Through these services, the DVMF ensures that Maryland’s military community receives the recognition and support earned through their service."
Adjutant General of Maryland,https://governor.maryland.gov/leadership/cabinet/Pages/adjutant-general-of-maryland.aspx,"The **Adjutant General of Maryland** is the cabinet-level head of the Maryland Military Department and serves as the Governor’s principal advisor on matters of state defense and national security. In this role, the Adjutant General exercises command over the **Maryland National Guard**—comprising both Army and Air components—and the **Maryland Defense Force**, leading a combined force of over 6,300 military and civilian personnel. The agency’s primary responsibilities include organizing, training, and equipping these forces to respond to domestic emergencies such as natural disasters, civil unrest, and public health crises (e.g., COVID-19 vaccination distribution). For Maryland residents, the agency provides essential public safety support through disaster relief, search and rescue operations, and the management of the state’s emergency management infrastructure and historic military records."
Higher Education Commission,https://mhec.maryland.gov/,"The Maryland Higher Education Commission (MHEC) is the state’s primary coordinating and regulatory board responsible for establishing statewide policies and long-range planning for Maryland's public and private colleges, universities, and for-profit career schools. Its primary responsibilities include administering over $100 million in annual financial aid—such as grants, scholarships, and tuition waivers—to help residents afford postsecondary education, and overseeing the ""State Plan for Postsecondary Education"" to align academic growth with workforce needs. For Maryland residents, MHEC serves as a vital resource by providing student financial assistance, ensuring the quality and integrity of academic programs through rigorous institutional approval processes, and protecting consumers by regulating private career schools to ensure they meet strict academic and financial standards."
Maryland State Police,https://mdsp.maryland.gov/,"The **Maryland State Police (MSP)**, officially the Maryland Department of State Police, is the primary statewide law enforcement agency responsible for protecting the citizens and visitors of Maryland through ""purposed policing."" Its primary responsibilities include enforcing criminal and motor vehicle laws, ensuring highway safety through traffic control and crash prevention, and investigating major crimes such as drug trafficking, homicides, and cybercrime. The agency operates with statewide jurisdiction (primarily outside incorporated municipalities) and provides critical support to local law enforcement through specialized units like the State Fire Marshal’s Office, the Bomb Squad, and an Aviation Command that performs search and rescue and emergency medical evacuations. Organized into 23 local barracks, the MSP performs a wide range of essential services for residents, from patrolling thousands of miles of state highways to managing forensic laboratory analysis and coordinating inter-jurisdictional crime-fighting strategies."
Office of Appointments,https://govappointments.maryland.gov/,"The **Maryland Governor's Office of Appointments** is the executive agency responsible for identifying, recruiting, and vetting candidates to serve on the state’s more than 600 boards and commissions, as well as in cabinet-level positions and judgeships. Its primary mission is to ensure that state government is inclusive and representative of Maryland’s diverse population by building a talented candidate pool that reflects the state's geography, expertise, and demographics. For Maryland residents, the office serves as a gateway to public service, managing the administrative and technical aspects of the application process for thousands of largely volunteer leadership roles. These appointees perform critical work that impacts daily life, such as regulating professional industries, setting educational and safety standards, and shaping policies that govern everything from healthcare and the arts to economic development and environmental protection."
Secretary of State,https://sos.maryland.gov/,"The **Maryland Secretary of State** is a cabinet-level executive agency responsible for a diverse range of administrative, diplomatic, and public safety functions for the state. Unlike many other states, the Secretary is appointed by the Governor rather than elected. The agency’s primary responsibilities include maintaining the **Great Seal of Maryland**, certifying official state documents (such as **apostilles** and notary public commissions), and overseeing the registration of **charitable organizations** to protect residents from fraud. For Maryland residents, the office performs critical work through the **""Safe at Home""** Address Confidentiality Program, which provides a substitute address for victims of domestic violence and human trafficking to help ensure their safety. Additionally, the agency manages the **Maryland Sister States Program** and coordinates international affairs, serving as a key link between the state government, the diplomatic community, and the public."
"Executive Commissions, Committees, Task Forces, and Advisory Boards",https://msa.maryland.gov/msa/mdmanual/26excom/html/00list.html,"In Maryland, **Executive Commissions, Committees, Task Forces, and Advisory Boards** are specialized study groups created or authorized by the Governor, the General Assembly, or heads of executive departments to address specific issues of public concern. Rather than functioning as a single traditional agency, this designation represents a vital arm of the executive branch where the Governor draws upon the combined expertise of private citizens and public servants to solve complex government problems. Their primary responsibilities include conducting in-depth inquiries into assigned policy areas—such as public health, education, or environmental safety—and providing formal recommendations or legislative proposals. For Maryland residents, these bodies serve as a bridge for direct civic engagement and ensure that state policies are informed by expert research and community-focused advocacy, often coordinating work across multiple government agencies to improve efficiency and service delivery."
Governor's Grants Office,https://grants.maryland.gov/Pages/Grants-Office.aspx,"The **Maryland Governor’s Grants Office (GGO)** serves as the central coordinating body for the state’s grant-related activities, focusing on maximizing the federal funding that flows into Maryland. Its primary responsibilities include providing technical assistance, research, and training to state agencies, local governments, nonprofit organizations, and businesses to improve their ability to identify, win, and manage federal grants. By leading initiatives like the **Governor’s Federal Investment Team (FIT)** and the **Maryland Efficient Grant Application (MEGA) Council**, the office streamlines administrative processes and fosters inter-agency collaboration to ensure state resources are used effectively. For Maryland residents, the GGO’s work translates into better-funded public services—such as education, infrastructure, and community health programs—by ensuring that local organizations have the expertise and resources needed to secure the funding that sustains these essential community supports."
Governor's Office for Children,https://goc.maryland.gov/,"The **Governor's Office for Children** (GOC) is a Maryland state cabinet-level agency that serves as a central coordinating body dedicated to improving the well-being of children and families while working to eliminate childhood poverty. Its primary responsibility is to lead a ""whole-of-government"" approach, aligning the efforts of various state agencies, local governments, and private partners to build a comprehensive support network for residents. For Marylanders, the GOC performs critical work by driving policy action and funding programs that address food insecurity, combat youth homelessness, and expand access to mental health and healthcare services. A key part of its mission is executed through **Local Management Boards** in every county, which tailor services to community-specific needs, and through major initiatives like the **ENOUGH Act**, which targets resources toward neighborhoods with concentrated poverty to improve long-term economic mobility and educational outcomes."
Governor's Office of Community Initiatives,https://www.goci.maryland.gov/,"The **Governor’s Office of Community Initiatives (GOCI)** serves as Maryland’s primary liaison between the executive branch and the state’s diverse constituent groups, connecting residents to economic, volunteer, and human service opportunities. The agency is responsible for coordinating community affairs and outreach by partnering with nonprofits, faith-based organizations, and businesses to address local needs such as poverty, disaster recovery, and food insecurity. It provides administrative oversight for the **Governor’s Office on Service and Volunteerism (GOSV)**, which manages AmeriCorps programs, as well as the state’s various ethnic and cultural commissions—including those representing African, Asian-Pacific, Hispanic, Middle Eastern, and LGBTQIA+ communities. Through these commissions and the **Banneker-Douglass Museum**, GOCI works to promote cultural awareness, advocate for underrepresented populations, and ensure that state government remains accessible and responsive to all Marylanders."
Governor's Office of Crime Prevention and Policy,https://www.goccp.maryland.gov/,"The **Maryland Governor’s Office of Crime Prevention and Policy (GOCPP)** is a cabinet-level agency that serves as the state’s central hub for public safety policy and funding. Its primary responsibility is to advise the Governor on criminal justice strategies while administering federal and state grants to support law enforcement, local governments, and nonprofit organizations. The agency performs vital work for Maryland residents by coordinating statewide initiatives to reduce crime, violence, and substance abuse, as well as managing critical programs for victim services and justice-involved youth. Additionally, it promotes transparency through the Maryland Statistical Analysis Center, providing the public with data-driven insights into crime trends and the distribution of safety resources across the state."
Governor's Office of Homeland Security,https://www.gohs.maryland.gov/,"The **Maryland Governor’s Office of Homeland Security (GOHS)** serves as the central coordinating body for the state's efforts to prevent, protect against, and respond to natural and man-made disasters, including terrorist threats. As a primary advisor to the Governor, the office is responsible for developing statewide homeland security policies and strategies, while acting as the lead liaison between Maryland and federal partners like the U.S. Department of Homeland Security. For Maryland residents, the agency’s work translates into enhanced public safety through the management and allocation of federal grant funding to local governments, the oversight of the state’s cybersecurity infrastructure, and the continuous assessment of emergency readiness. Additionally, GOHS facilitates critical information sharing through the Maryland Coordination and Analysis Center (MCAC) to ensure that state and local law enforcement are equipped to handle emerging security challenges effectively."
Governor's Office of Performance Improvement,https://www.gopi.maryland.gov/,"The **Governor’s Office of Performance Improvement (GOPI)** is a Maryland state agency dedicated to enhancing the efficiency, accountability, and responsiveness of the state government. Originally established as ""StateStat"" in 2007 and recently reconstituted in 2025 to focus on modernization, GOPI serves as the central hub for data-driven decision-making and strategic planning across all executive agencies. Its primary responsibilities include developing the State Comprehensive Plan, leading ""Performance Cabinets"" to track progress on the Governor’s key priorities, and identifying opportunities to eliminate duplication, fraud, and waste. For Maryland residents, the office performs work that ensures taxpayer dollars are used effectively by streamlining public services—such as reducing wait times for state benefits—and maintaining transparent public dashboards that report on the performance and success of government programs."
"Governor's Office of Small, Minority & Women Business Affairs",https://gomdsmallbiz.maryland.gov/,"The **Governor’s Office of Small, Minority & Women Business Affairs** is a coordinating agency within Maryland's Executive Department that connects small, minority, women, and veteran entrepreneurs to state-funded economic opportunities. Its primary responsibility is the oversight and monitoring of three key socioeconomic procurement programs—the **Minority Business Enterprise (MBE)**, **Small Business Reserve (SBR)**, and **Veteran-Owned Small Business Enterprise (VSBE)** programs—across more than 70 state agencies to ensure statutory participation goals are met. For Maryland residents, the agency performs critical advocacy and capacity-building work by providing technical assistance, training webinars, and certification resources that help local business owners navigate the state’s procurement process and compete for government contracts. By fostering a more inclusive and transparent marketplace, the office works to strengthen Maryland's economy and ensure that diverse businesses can grow and sustain long-term success."
Governor's Office of the Deaf and Hard of Hearing,https://www.odhh.maryland.gov/,"The **Governor’s Office of the Deaf and Hard of Hearing (ODHH)** is a Maryland state agency dedicated to advocating for and promoting the general welfare of individuals who are deaf, hard of hearing, or deafblind. Its primary responsibilities include coordinating the adoption of public policies and regulations that benefit these residents, improving access to communication and state services, and serving as a centralized information clearinghouse and referral source. The agency performs critical work by collaborating with state and local entities to ensure emergency service accessibility (such as text-to-911), monitoring relevant legislation, and championing the ""Deaf Ecosystem""—an initiative that promotes economic development through the support of businesses owned by or hiring members of the deaf community. Additionally, the office works to eliminate employment barriers and oversees the state’s Sign Language Interpreters Fund to ensure high-quality communication access across Maryland."
Governor's Workforce Development Board,https://www.gwdb.maryland.gov/,"The **Governor’s Workforce Development Board (GWDB)** is Maryland's chief strategy and policy-making body responsible for overseeing the state’s workforce development system. Tasked with meeting the requirements of the federal Workforce Innovation and Opportunity Act (WIOA), the board advises the Governor on the creation and implementation of a four-year State Plan that aligns education, economic development, and training programs. 

For Maryland residents, the GWDB performs the following key functions:
*   **Creating Pathways to Employment:** It builds ""pipelines"" to help residents transition from education and vocational training into high-wage, high-demand careers.
*   **Removing Barriers:** The board works to identify and eliminate obstacles to employment, ensuring that underserved populations have equitable access to the workforce.
*   **System Oversight:** It monitors the state's ""one-stop"" delivery system (American Job Centers), which provides direct employment services, career coaching, and placement assistance to job seekers.
*   **Economic Alignment:** By engaging with business leaders and labor organizations, the board ensures that the skills of Maryland’s workers meet the evolving needs of the state's most critical industries, such as cybersecurity, healthcare, and advanced manufacturing."
Administrative Office of the Courts,https://www.courts.state.md.us/,"The **Administrative Office of the Courts (AOC)** serves as the central support agency for the Maryland Judiciary, providing the administrative, technological, and financial infrastructure necessary for the state’s court system to operate efficiently. Primarily responsible for assisting the Chief Justice of the Supreme Court of Maryland in overseeing court policies, the AOC manages the judicial budget, operates information systems like the ""Case Search"" public records portal, and provides ongoing education for judges and court staff. For Maryland residents, the agency performs critical public-facing work by maintaining the Domestic Violence Central Repository, managing court interpreter and mediation programs, and overseeing the Maryland Court Help Centers, which offer free legal assistance and access to essential court forms and records."
Board of Public Works,https://bpw.maryland.gov/,"The **Maryland Board of Public Works (BPW)** is the highest administrative authority in the state government, composed of the Governor, the Comptroller, and the State Treasurer. Its primary responsibility is to protect Maryland’s fiscal integrity by reviewing and approving significant state expenditures, including procurement contracts (typically exceeding $200,000), capital improvements, and the acquisition or sale of state property. For Maryland residents, the Board ensures that tax dollars are spent lawfully and efficiently, overseeing critical investments in public school construction, environmental protection through tidal wetlands licensing, and the promotion of fair business practices via Minority Business Enterprise participation. By acting as a constitutional check on executive and legislative spending, the BPW safeguards the state's financial stability and manages the infrastructure and assets that directly support the public."
